question,answer,context,reference
Apa yang harus dilakukan jika tertimbun longsor?,"Baik, sebagai asisten mitigasi bencana BPBD Kabupaten Bogor, berikut jawaban berdasarkan basis data yang tersedia:

**Pra Bencana:**

*   Perhatikan indikasi Daerah Rawan Bencana.
*   Pastikan fondasi bangunan kuat dan terawat.
*   Perhatikan kondisi drainase dan keberadaan jangkar.

**Saat Bencana:**

*   Tidak tersedia dalam basis data

**Pasca Bencana:**

*   Tidak tersedia dalam basis data","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi"
Bagaimana cara menolong korban longsor?,"Baik, sebagai asisten mitigasi bencana BPBD Kabupaten Bogor, berikut cara menolong korban longsor berdasarkan data yang tersedia:

**Pra Bencana:**
*   Identifikasi daerah rawan bencana dan zona evakuasi.
*   Perhatikan kondisi tanah yang labil sebagai indikasi potensi longsor.
*   Pastikan Sistem Peringatan Dini Longsor aktif dan terdata dengan baik.

**Saat Bencana:**
*   Evakuasi segera penduduk di wilayah yang terpicu longsor.
*   Perkuat fondasi dan pastikan drainase berfungsi untuk mengurangi risiko.
*   Pertimbangkan penggunaan jangkar untuk stabilitas area yang berpotensi longsor.

**Pasca Bencana:**
*   Lakukan peninjauan runtuhan batuan untuk evaluasi lebih lanjut.
*   Identifikasi material longsor yang menjadi penyebab utama.
*   Perbaiki infrastruktur yang rusak, terutama terkait drainase dan fondasi.","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi"
Apa yang harus diwaspadai setelah longsor?,"Pasca Bencana:
- Kondisi tanah yang labil
- Runtuhan batuan
- Beberapa wilayah","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi"
Apakah warga boleh kembali ke rumah setelah longsor?,"Pra Bencana: Tidak tersedia dalam basis data.
Saat Bencana: Tidak tersedia dalam basis data.
Pasca Bencana: Informasi mengenai boleh atau tidaknya warga kembali ke rumah setelah longsor tidak tersedia dalam basis data.","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi","- Tanah Longsor berkaitan dengan: Daerah Rawan Bencana, runtuhan batuan, Fondasi, Drainase, Jangkar
- wilayah longsor berkaitan dengan: kondisi tanah yang labil
- Material Longsor berkaitan dengan: Material Longsor
- Sistem Peringatan Dini Longsor berkaitan dengan: beberapa wilayah, waspada, Tanah Longsor, zona evakuasi"
Apa langkah evakuasi saat gempa bumi?,"Baik, sebagai asisten mitigasi bencana BPBD Kabupaten Bogor, berikut langkah evakuasi berdasarkan informasi yang tersedia:

**Pra Bencana:**
*   Tetap waspada terhadap gempa bumi.
*   Waspadai potensi kerusakan pada jalan, jembatan, bangunan.
*   Kenali Daerah Rawan Gempa Bumi tempat tinggal.

**Saat Bencana:**
*   Evakuasi segera ke tempat yang lebih aman.
*   Perhatikan informasi Kedalaman Gempa dan Potensi Tsunami.

**Pasca Bencana:**
*   Tetap waspada terhadap gempa bumi susulan.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa yang harus dilakukan setelah gempa bumi?,"Baik, sebagai Asisten Mitigasi Bencana BPBD Kabupaten Bogor, berikut langkah-langkah setelah gempa bumi berdasarkan informasi yang tersedia:

**Saat Bencana:**

1.  Tetap waspada terhadap gempa bumi susulan.
2.  Perhatikan potensi kerusakan pada Jalan, Jembatan, Bangunan.
3.  Perhatikan potensi Tsunami.

**Pasca Bencana:**

1.  Perhatikan potensi Kerusakan.
2.  Tetap waspada terhadap gempa bumi susulan.
","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Bagaimana cara mempersiapkan diri sebelum gempa bumi?,"Baik, sebagai asisten mitigasi bencana BPBD Kabupaten Bogor, berikut adalah persiapan diri sebelum gempa bumi berdasarkan informasi yang tersedia:

**Pra Bencana:**
*   Tetap waspada terhadap gempa bumi susulan.
*   Kenali bahwa Kabupaten Bogor merupakan Daerah Rawan Gempa Bumi.
*   Perhatikan informasi mengenai potensi tsunami terkait gempa bumi.

**Saat Bencana:**
*   Tidak tersedia dalam basis data

**Pasca Bencana:**
*   Tidak tersedia dalam basis data","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa itu gempa bumi?,"Berikut jawaban berdasarkan basis data knowledge graph:

**Pra Bencana:**
*   Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi.
*   Gempa Bumi berkaitan dengan: Jalan, Jembatan, Bangunan.
*   Gempa Bumi berkaitan dengan: tetap waspada.

**Saat Bencana:**
*   Tidak tersedia dalam basis data.

**Pasca Bencana:**
*   Gempa Bumi berkaitan dengan: Kerusakan.
*   Tidak tersedia dalam basis data.
*   Tidak tersedia dalam basis data.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa penyebab gempa bumi?,"Pra Bencana: Daerah Rawan Gempa Bumi.
Saat Bencana: Jalan, Jembatan, Bangunan.
Pasca Bencana: Tetap waspada.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa saja yang harus ada dalam tas darurat gempa?,"Baik, sebagai asisten mitigasi bencana BPBD Kabupaten Bogor, berikut adalah saran untuk tas darurat gempa berdasarkan data yang tersedia:

**Pra Bencana:**

*   Perbekalan makanan ringan dan air bersih untuk beberapa hari.
*   Peralatan pertolongan pertama seperti P3K dan obat-obatan pribadi.
*   Selimut atau jaket tebal untuk berjaga-jaga terhadap suhu dingin.

**Saat Bencana:**

*   Tetap waspada terhadap gempa bumi susulan.
*   Perbekalan makanan ringan dan air bersih untuk mengurangi rasa lapar dan dehidrasi.

**Pasca Bencana:**

*   Tidak tersedia dalam basis data","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apakah Kabupaten Bogor rawan gempa bumi?,"Pra Bencana: Ya, Kabupaten Bogor adalah Daerah Rawan Gempa Bumi.
Saat Bencana: Gempa Bumi dapat menyebabkan Kerusakan pada jalan, jembatan, dan bangunan.
Pasca Bencana: Tetap waspada terhadap gempa bumi susulan.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa yang harus dilakukan saat gempa bumi terjadi di dalam ruangan?,"Pra Bencana: Tetap waspada.
Saat Bencana: Lindungi diri di bawah meja atau perabot yang kuat.
Pasca Bencana: Tidak tersedia dalam basis data.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa yang harus dilakukan saat gempa bumi terjadi di luar ruangan?,"Pra Bencana: Tetap waspada.

Saat Bencana: Cari tempat berlindung yang aman, seperti di bawah meja atau di sudut ruangan.

Pasca Bencana: Tetap waspada terhadap gempa bumi susulan.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa yang tidak boleh dilakukan saat gempa bumi?,"**Pra Bencana:** Tidak tersedia dalam basis data

**Saat Bencana:** Tetap waspada terhadap gempa bumi susulan.
Hindari Daerah Rawan Gempa Bumi.

**Pasca Bencana:** Tidak tersedia dalam basis data","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa yang harus dilakukan setelah gempa bumi berhenti?,"Pasca Bencana:

*   Tetap waspada terhadap gempa bumi susulan.
*   Perhatikan potensi kerusakan pada Jalan, Jembatan, Bangunan.
*   Informasi Gempa Bumi memberikan data Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi untuk evaluasi lebih lanjut.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Apa itu gempa susulan?,"Pra Bencana: Gempa susulan berkaitan dengan tetap waspada.
Saat Bencana: Tidak tersedia dalam basis data.
Pasca Bencana: Tidak tersedia dalam basis data.","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Bagaimana cara membantu korban gempa yang terluka?,"Baik, sebagai Asisten Mitigasi Bencana BPBD Kabupaten Bogor, berikut adalah langkah-langkah membantu korban gempa yang terluka berdasarkan data yang tersedia:

**Pra Bencana:**
*   Tidak tersedia dalam basis data

**Saat Bencana:**
*   Prioritaskan penanganan pertama pada korban yang terluka.
*   Evakuasi korban yang terluka menuju tempat yang aman.
*   Pastikan akses informasi gempa seperti Kedalaman Gempa dan Potensi Tsunami.

**Pasca Bencana:**
*   Tetap waspada terhadap gempa susulan.
*   Tidak tersedia dalam basis data","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi","- gempa bumi susulan berkaitan dengan: tetap waspada
- Gempa Bumi berkaitan dengan: Daerah Rawan Gempa Bumi, Kerusakan, Jalan, Jembatan, Bangunan
- Informasi Gempa Bumi berkaitan dengan: Kedalaman Gempa, Potensi Tsunami, Titik Pusat Gempa Bumi, Parameter Gempa Bumi"
Bagaimana cara mempersiapkan diri sebelum bencana angin kencang?,"Pra Bencana:
1.  Periksa kekuatan bangunan dan infrastruktur untuk memastikan kokoh.
2.  Pastikan rumah dan lingkungan bebas dari bahan mudah terbakar.
3.  Waspadai potensi Angin Puting Beliung dan angin kencang.

Saat Bencana:
1.  Cegah penyebaran api jika angin kencang terjadi.
2.  Lindungi bangunan kokoh dari dampak angin.
3.  Lindungi rumah dan infrastruktur.

Pasca Bencana:
1.  Tidak tersedia dalam basis data","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apa dampak angin kencang terhadap infrastruktur?,"Pra Bencana: Angin kencang berkaitan dengan infrastruktur.
Saat Bencana: Angin kencang berkaitan dengan penyebaran api.
Pasca Bencana: Tidak tersedia dalam basis data.","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apa yang harus dilakukan saat terjadi angin kencang?,"Saat Bencana:
1.  Perkuat bangunan kokoh.
2.  Jauhkan diri dari rumah dan infrastruktur.
3.  Waspadai potensi bahaya pada rumah dan lingkungan sekitar.","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apa itu angin puting beliung?,"Pra Bencana:
- Angin Puting Beliung berkaitan dengan Angin Kencang.
- Angin Puting Beliung berkaitan dengan Bangunan kokoh.
- Angin Puting Beliung berkaitan dengan Rumah.
","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Kapan angin puting beliung sering terjadi di Bogor?,"Pra Bencana: Tidak tersedia dalam basis data mengenai kapan angin puting beliung sering terjadi.
Saat Bencana: Angin puting beliung berkaitan dengan rumah dan infrastruktur.
Pasca Bencana: Tidak tersedia dalam basis data mengenai pasca bencana.","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apa tanda-tanda akan terjadi angin puting beliung?,"Pra Bencana: Angin Puting Beliung berkaitan dengan Angin Kencang dan Rumah.
Saat Bencana: Angin Puting Beliung berkaitan dengan Infrastruktur dan Bangunan kokoh.
Pasca Bencana: Tidak tersedia dalam basis data.","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Bagaimana cara mempersiapkan rumah agar tahan angin puting beliung?,"Pra Bencana:
1. Pastikan bangunan kokoh.
2. Lindungi rumah dari kerusakan akibat angin puting beliung.
3. Pertimbangkan lokasi rumah yang aman dari potensi dampak.

Saat Bencana:
Tidak tersedia dalam basis data

Pasca Bencana:
Tidak tersedia dalam basis data","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apa yang harus dilakukan saat terjadi angin puting beliung?,"Pra Bencana:
- Perhatikan peringatan dini angin kencang.
- Pastikan bangunan kokoh.
- Lindungi rumah dan infrastruktur.

Saat Bencana:
- Cari tempat berlindung di tempat yang aman.
- Jauhi bangunan dan infrastruktur yang tidak kokoh.
- Lindungi rumah dan perabotan.

Pasca Bencana:
- Lakukan peninjauan kerusakan pada bangunan dan infrastruktur.
- Tidak tersedia dalam basis data","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apa yang harus dilakukan setelah angin puting beliung?,"Pasca Bencana:

1.  Periksa kerusakan pada bangunan kokoh.
2.  Periksa kerusakan pada rumah.
3.  Periksa kerusakan pada infrastruktur.","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api","- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung
- angin berkaitan dengan: kebakaran hutan
- angin kencang berkaitan dengan: penyebaran api"
Apakah puting beliung bisa terjadi lagi di lokasi yang sama?,"Tidak tersedia dalam basis data.
",Tidak ada konteks ditemukan.,"- Angin Puting Beliung berkaitan dengan: Angin Kencang, Bangunan kokoh, Infrastruktur, Rumah
- Angin Kencang berkaitan dengan: Bogor, Infrastruktur, Rumah, Bangunan kokoh, Angin Puting Beliung"
Apa yang dilakukan pasca bencana erupsi gunung api?,"Pasca Bencana:

*   Penanganan abu vulkanik.
*   Pemantauan Danau Kawah.
*   Penanganan terkait Kabupaten Bogor.","- gunungapi berkaitan dengan: abu vulkanik
- Gunung Berapi berkaitan dengan: Danau Kawah
- Gunung Api berkaitan dengan: Kabupaten Bogor
- Gunung Salak berkaitan dengan: Kabupaten Bogor
- Gunung Gede berkaitan dengan: Kabupaten Bogor","- gunungapi berkaitan dengan: abu vulkanik
- Gunung Berapi berkaitan dengan: Danau Kawah
- Gunung Api berkaitan dengan: Kabupaten Bogor
- Gunung Salak berkaitan dengan: Kabupaten Bogor
- Gunung Gede berkaitan dengan: Kabupaten Bogor"
